wavelength (nm), transmission
999.9999999999999, 0.9614457831325023
1000.9999999999999, 0.9626090100234992
1002, 0.9637977082969289
1003, 0.9651584584123631
1004, 0.9669989742334262
1004.9999999999999, 0.9681587292647094
1005.9999999999999, 0.9696868904205196
1006.9999999999999, 0.971262766073423
1007.9999999999999, 0.9728408109996309
1008.9999999999999, 0.9743429427608585
1010, 0.9760359731542421
1011, 0.9770736130615386
1012, 0.9792084439077795
1012.9999999999999, 0.9802525532963478
1013.9999999999999, 0.9818946234035395
1014.9999999999999, 0.9830213218368475
1015.9999999999999, 0.984572274473545
1016.9999999999999, 0.9862721310505944
1018, 0.9870718109469756
1019, 0.9881650034354044
1019.9999999999999, 0.9890518841578229
1020.9999999999999, 0.9900685995764442
1021.9999999999999, 0.9908150720054656
1022.9999999999999, 0.9916538796864461
1023.9999999999999, 0.9922236316361674
1025, 0.9928514984561285
1026, 0.992953645893357
1027, 0.9936132307527235
1028, 0.9937374026202022
1029, 0.9938805633329257
1030, 0.9945331696690314
1031, 0.9946287765719437
1032, 0.9953343158090735
1033, 0.9948754064552094
1034, 0.9945245573916035
1035, 0.9945521872524148
1036, 0.9939052278410581
1037, 0.993777884551015
1038, 0.9927635796572443
1039, 0.9919257599347413
1040, 0.9907010382689154
1041, 0.9888747344552922
1042, 0.9875862744825692
1043, 0.9864134338461439
1044, 0.9852499369515891
1045, 0.9841091964002256
1046, 0.9825834196221972
1047, 0.9812927718686768
1048, 0.9795477626378404
1049, 0.977343099016664
1050, 0.9754029130270979
1051, 0.97346644232546
1052, 0.9706786742978077
1053, 0.9683981437456504
1054, 0.9660298212950685
1055, 0.9642345633907494
1056, 0.9621983635419885
1057, 0.9598609440813264
1058, 0.9575525353120695
1059, 0.9547645252301262
1060, 0.9521509003077739
1061, 0.9498308003291264
1062, 0.9482549425506037
1063, 0.945853898861696
1064, 0.9441577924593549
1065, 0.9419721219836343
1066, 0.9401033301751844
1067, 0.9377278772443453
1068, 0.9354507368639297
1069, 0.9334598519551709
1070, 0.9315549350485521
1071, 0.9296010260894569
1072, 0.9276247581662922
1073, 0.9258383186329147
1074, 0.9245069996019075
1075, 0.9224118585985784
1076, 0.9208253657014223
1077, 0.9188887590288214
1078, 0.9175844970892595
1079, 0.9157351138969947
1080, 0.9149999193734357
1081, 0.9141275936772164
1082, 0.9130221200019721
1083, 0.9121456593294504
1084, 0.9111144809890395
1085, 0.9101067811667873
1086, 0.9095916655871388
1087, 0.908658107912726
1088, 0.9084302440687271
1089, 0.9078675953065412
1090, 0.9079347941589673
1091, 0.9074570807834639
1092, 0.9070186283063357
1093, 0.907445178001445
1094, 0.9079059745456478
1095, 0.9081868681233785
1096, 0.9087425679066048
1097, 0.9086767582478299
1098, 0.9091581593763935
1099, 0.9094781679497577
1100, 0.9103051387261922
1101, 0.9104093096737886
1102, 0.9113879859487395
1103, 0.9125626602617063
1104, 0.9137421071973177
1105, 0.9149163777512941
1106, 0.9167237058748403
1107, 0.9180603290238456
1108, 0.9192281187127738
1109, 0.9203879711991174
1110, 0.9215268096370506
1111, 0.9232549978144202
1112, 0.9251727874768065
1113, 0.9273163350065607
1114, 0.9294620349953657
1115, 0.9313791824526507
1116, 0.9331123798313952
1117, 0.934317414362273
1118, 0.9358502839468187
1119, 0.9369956143496179
1119.9999999999998, 0.9390069809665011
1121, 0.9409038439936781
1122, 0.9435590951398858
1123, 0.9455802583529855
1124, 0.9473871259987232
1125, 0.9494114359998149
1126, 0.9517680141996645
1127, 0.9541562778949089
1128, 0.9560451092618423
1129, 0.9580910749181639
1130, 0.9598919382532598
1131, 0.9617745709457766
1132, 0.9641853018084252
1133, 0.9665357099934581
1134, 0.9688317955751617
1135, 0.9707767828595086
1136, 0.9722193272411123
1137, 0.9742720844884096
1138, 0.9764665763657749
1139, 0.9785052820902449
1140, 0.9798977953631642
1141, 0.9813274152011269
1142, 0.9826421561243326
1143, 0.9847391661534375
1144, 0.9858076452823341
1145, 0.9869850268688096
1146, 0.988141283087071
1147, 0.989290860746961
1148, 0.9900832340084567
1149, 0.9908554486132106
1150, 0.9920579574666573
1150.9999999999998, 0.9928233895225469
1152, 0.9938834275435833
1153, 0.9943871014560361
1154, 0.9954788196002889
1155, 0.9961641047276457
1156, 0.9969889254469259
1157, 0.9971461374668018
1158, 0.9973981759147803
1159, 0.9978295276913505
1160, 0.9983722786286627
1161, 0.9985679696325054
1162, 0.9977462856126212
1163, 0.9978345000842765
1164, 0.997215745856171
1165, 0.9970219381679326
1166, 0.9964653019039589
1167, 0.9962025966856365
1168, 0.9957227604110424
1169, 0.9953803653431543
