Pixel,Wavelength
0.7251408228661111,1.313
0.930129551405,1.314
1.1348752342466666,1.315
1.3393788314772221,1.3159999999999998
1.5436412994544444,1.317
1.7476635908049998,1.318
1.9514466544761113,1.319
2.1549914357177777,1.3199999999999998
2.358298876118889,1.321
2.561369913626111,1.322
2.7642054825533333,1.323
2.966806513596111,1.3239999999999998
3.169173933865556,1.325
3.3713086668833334,1.326
3.5732116326272223,1.327
3.774883747502222,1.3279999999999998
3.9763259244200007,1.329
4.177539072747222,1.33
4.378524098376111,1.331
4.579281903718889,1.3319999999999999
4.779813387708334,1.333
4.980119445863334,1.334
5.180200970243889,1.335
5.380058849511666,1.3359999999999999
5.579693968926112,1.337
5.779107210366666,1.338
5.978299452338334,1.339
6.1772715700122225,1.3399999999999999
6.376024435215556,1.341
6.574558916451111,1.342
6.7728758789372225,1.343
6.970976184585001,1.3439999999999999
7.1688606920372235,1.345
7.366530256677223,1.346
7.563985730660556,1.347
7.761227962899444,1.3479999999999999
7.9582577991050005,1.349
8.155076081782777,1.3499999999999999
8.351683650252221,1.351
8.548081340684998,1.3519999999999999
8.744269986075556,1.353
8.940250416290557,1.3539999999999999
9.136023458078334,1.355
9.331589935062778,1.3559999999999999
9.526950667788888,1.357
9.722106473711111,1.3579999999999999
9.917058167217778,1.359
10.111806559647778,1.3599999999999999
10.306352459287778,1.361
10.500696671422778,1.3619999999999999
10.694839998314999,1.363
10.888783239219999,1.3639999999999999
11.082527190429445,1.365
11.276072645247778,1.3659999999999999
11.469420394029445,1.367
11.662571224198334,1.3679999999999999
11.85552592022889,1.369
12.048285263691668,1.3699999999999999
12.240850033255555,1.371
12.433221004695,1.3719999999999999
12.625398950909444,1.373
12.817384641933334,1.3739999999999999
13.009178844966112,1.375
13.200782324346111,1.376
13.392195841603334,1.377
13.583420155457222,1.378
13.774456021817223,1.379
13.965304193824444,1.38
14.155965421825,1.381
14.346440453424997,1.382
14.536730033469446,1.383
14.726834904063335,1.384
14.916755804601666,1.385
15.106493471773332,1.386
15.296048639534442,1.387
15.485422039200001,1.388
15.674614399374443,1.389
15.863626446008332,1.39
16.052458902424448,1.391
16.241112489267223,1.392
16.42958792458111,1.393
16.617885923800557,1.394
16.806007199724444,1.395
16.993952462595555,1.396
17.181722420056666,1.397
17.369317777183333,1.398
17.5567392365,1.399
17.74398749798111,1.4
17.931063259068893,1.401
18.117967214675,1.402
18.304700057210553,1.403
18.491262476572224,1.404
18.677655160180556,1.405
18.86387879297889,1.406
19.04993405742222,1.407
19.235821633531668,1.408
19.421542198865556,1.409
19.607096428566113,1.41
19.79248499532778,1.411
19.977708569455,1.412
20.16276781882222,1.4129999999999998
20.347663408950556,1.414
20.53239600293611,1.415
20.71696626153278,1.416
20.90137484313,1.4169999999999998
21.085622403757224,1.418
21.269709597103333,1.419
21.453637074545,1.42
21.63740548512,1.4209999999999998
21.821015475561666,1.422
22.004467690317224,1.423
22.187762771526664,1.424
22.37090135906167,1.4249999999999998
22.55388409051889,1.426
22.736711601241666,1.427
22.91938452432111,1.428
23.101903490609445,1.4289999999999998
23.284269128726113,1.43
23.46648206507778,1.431
23.648542923855555,1.432
23.830452327047777,1.4329999999999998
24.01221089445889,1.434
24.193819243699448,1.435
24.375277990226667,1.436
24.556587747315557,1.4369999999999998
24.73774912610389,1.438
24.918762735579445,1.439
25.099629182584444,1.44
25.28034907185111,1.4409999999999998
25.460923005992775,1.442
25.641351585512776,1.443
25.821635408815,1.444
26.00177507221722,1.4449999999999998
26.181771169951666,1.446
26.361624294189443,1.447
26.54133503503333,1.448
26.720903980531112,1.4489999999999998
26.900331716691667,1.45
27.079618827490556,1.451
27.258765894862222,1.452
27.437773498735552,1.4529999999999998
27.616642217036667,1.454
27.795372625669998,1.455
27.97396529855889,1.456
28.152420807653886,1.4569999999999999
28.330739722914444,1.458
28.508922612336114,1.459
28.68697004195778,1.46
28.86488257587556,1.4609999999999999
29.04266077622722,1.462
29.220305203239448,1.4629999999999999
29.39781641519278,1.464
29.57519496845778,1.4649999999999999
29.752441417501114,1.466
29.929556314887222,1.4669999999999999
30.106540211287225,1.468
30.28339365548056,1.4689999999999999
30.46011719437945,1.47
30.636711373021665,1.4709999999999999
30.813176734586666,1.472
30.989513820406117,1.4729999999999999
31.165723169954997,1.474
31.341805320877775,1.4749999999999999
31.517760808985,1.476
31.693590168277783,1.4769999999999999
31.869293930932777,1.478
32.04487262731166,1.4789999999999999
32.22032678600555,1.48
32.39565693377778,1.4809999999999999
32.570863595630556,1.482
32.74594729479334,1.4829999999999999
32.92090855271555,1.484
33.09574788908444,1.4849999999999999
33.27046582184111,1.486
33.445062867173334,1.4869999999999999
33.61953953953778,1.488
33.793896351646666,1.4889999999999999
33.96813381449667,1.49
34.14225243736611,1.4909999999999999
34.31625272782334,1.492
34.49013519172611,1.4929999999999999
34.66390033323945,1.494
34.837548654851666,1.4949999999999999
35.01108065734999,1.496
35.184496839854994,1.4969999999999999
35.357797699825,1.498
35.530983733043335,1.4989999999999999
35.704055433651114,1.5
35.87701329413722,1.501
36.04985780534222,1.502
36.22258945649222,1.503
36.39520873517555,1.504
36.56771612734944,1.505
36.74011211736944,1.506
36.91239718799167,1.507
37.08457182036055,1.508
37.25663649402,1.509
37.42859168694112,1.51
37.60043787550777,1.511
37.772175534538334,1.512
37.94380513726778,1.513
38.115327155374445,1.514
38.286742058999444,1.515
38.45805031670555,1.516
38.62925239554833,1.517
38.80034876101889,1.518
38.97133987708,1.519
39.14222620620167,1.52
39.31300820929778,1.521
39.48368634580222,1.522
39.654261073623886,1.523
39.824732849189445,1.524
39.995102127415,1.525
40.165369361745,1.526
40.335535004142216,1.527
40.50559950509111,1.528
40.67556331361,1.529
40.845426877252216,1.53
41.015190642120004,1.531
41.184855052863334,1.532
41.35442055269444,1.533
41.523887583359446,1.534
41.69325658521389,1.535
41.86252799715389,1.536
42.03170225666944,1.537
42.20077979982945,1.538
42.36976106130056,1.539
42.53864647433444,1.54
42.70743647079222,1.541
42.87613148114556,1.542
43.04473193446722,1.543
43.21323825845834,1.544
43.38165087944555,1.545
43.54997022237722,1.546
43.71819671083833,1.547
43.886330767065004,1.548
44.054372811930556,1.549
44.222323264953886,1.55
44.39018254432778,1.551
44.55795106689722,1.552
44.72562924817,1.553
44.89321750233722,1.554
45.06071624226944,1.555
45.228125879508326,1.556
45.39544682429055,1.557
45.56267948555778,1.5579999999999998
45.7298242709339,1.559
45.89688158675611,1.56
46.063851838077774,1.561
46.23073542865778,1.5619999999999998
46.397532760969995,1.563
46.564244236231666,1.564
46.73087025437556,1.565
46.89741121407334,1.5659999999999998
47.06386751273889,1.567
47.230239546531116,1.568
47.39652771034722,1.569
47.562732397868885,1.5699999999999998
47.72885400150722,1.571
47.89489291245555,1.572
48.06084952067055,1.573
48.226724214888335,1.5739999999999998
48.39251738262056,1.575
48.55822941016667,1.576
48.72386068260945,1.577
48.88941158383223,1.5779999999999998
49.054882496511674,1.579
49.220273802140554,1.58
49.38558588100167,1.581
49.55081911220611,1.5819999999999999
49.71597387366833,1.583
49.88105054214222,1.5839999999999999
50.04604949319056,1.585
